mobile_price,mobile_color,dual_sim,disp_size,os,num_cores,mp_speed,int_memory,ram,battery_power,mob_width,mob_height,mob_depth,mob_weight,res_dim_1,res_dim_2,p_cam_max,p_cam_count,f_cam_max,f_cam_count,2G,3G,4G,4GVOLTE,5G
9999,Other,Dual Sim,6.22,Android Pie 9,8,1.95,64,3,5000,75.41,156.48,9.4,191.0,1520,720,13,2,8,1,0,1,0,1,0
19999,Other,Dual Sim,6.67,other,8,2.3,128,6,5020,76.68,165.75,8.8,209.0,2400,1080,48,4,16,1,0,1,0,1,0
14800,Blue,Dual Sim,6.3,Android Pie 9,8,2.2,64,4,4000,75.21,159.21,8.1,186.0,2340,1080,12,2,13,1,1,1,0,1,0
13990,Gold,Dual Sim,5.99,Android Oreo 8.1,8,2.2,64,4,3010,75.4,158.7,7.3,168.0,2160,1080,20,2,20,1,1,1,1,1,0
6699,Gold,Dual Sim,5.45,Android Pie 9,8,2.0,32,2,4000,70.4,146.3,9.55,165.0,1440,720,12,1,5,1,1,1,0,1,0
8689,Gold,Dual Sim,5.99,other,8,2.0,32,3,3080,77.26,160.73,8.1,168.0,1440,720,12,2,16,1,1,1,1,0,0
11599,Other,Dual Sim,5.5,other,8,1.4,64,4,3080,76.2,153.0,7.7,154.0,1280,720,13,1,16,1,1,1,1,0,0
7999,Other,Dual Sim,5.99,other,8,2.0,32,3,3080,77.26,160.73,8.1,168.0,1440,720,12,2,16,1,1,1,1,0,0
9900,Red,Dual Sim,6.35,Android Pie 9,8,2.0,64,3,5000,76.77,159.43,8.92,190.5,720,1544,13,3,8,1,1,1,1,1,0
10990,Black,Dual Sim,6.35,Android Pie 9,8,2.0,32,3,5000,76.77,159.43,8.92,190.5,720,1544,13,3,8,1,1,1,1,1,0
10849,Blue,Dual Sim,6.35,Android Pie 9,8,1.95,32,3,5000,76.77,159.43,8.92,190.5,720,1544,13,2,8,1,1,1,1,1,0
